City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,illizi,26.4833,8.4667,18.41,23,70,4.25,DZ,1681787510
1,smolyaninovo,43.2956,132.4675,8.7,75,100,8.79,RU,1681787510
2,papatowai,-46.5619,169.4708,12.75,86,100,6.76,NZ,1681787510
3,margaret river,-33.95,115.0667,18.39,48,9,8.25,AU,1681787510
4,mejit,10.2753,170.8646,26.65,78,96,18.01,MH,1681787510
5,constantia,44.1833,28.65,6.5,87,37,9.24,RO,1681787452
6,greymouth,-42.4667,171.2,13.38,97,100,8.46,NZ,1681787511
7,bethel,41.3712,-73.414,14.94,66,100,0.0,US,1681787511
8,anadyr,64.75,177.4833,-4.72,79,75,4.47,RU,1681787511
9,grytviken,-54.2811,-36.5092,2.8,90,100,6.46,GS,1681787511
10,college,64.8569,-147.8028,-0.01,65,100,5.75,US,1681787511
11,port-aux-francais,-49.35,70.2167,6.49,89,98,25.79,TF,1681787511
12,meppel,52.6958,6.1944,6.73,64,11,1.01,NL,1681787512
13,waitangi,-43.9535,-176.5597,16.01,80,100,4.0,NZ,1681787512
14,yeppoon,-23.1333,150.7333,27.88,61,65,18.21,AU,1681787512
15,laojunmiao,39.8333,97.7333,21.31,9,4,6.35,CN,1681787512
16,hithadhoo,-0.6,73.0833,28.54,67,9,4.59,MV,1681787512
17,kodiak,57.79,-152.4072,0.73,34,100,17.27,US,1681787512
18,hermanus,-34.4187,19.2345,15.32,67,3,3.15,ZA,1681787513
19,foso,5.7012,-1.2866,24.28,92,73,1.83,GH,1681787513
20,fort irwin,35.2627,-116.6848,18.9,20,0,20.71,US,1681787513
21,labuan,5.2767,115.2417,27.84,74,100,4.16,MY,1681787513
22,wailua homesteads,22.0669,-159.378,25.24,83,75,8.05,US,1681787513
23,adamstown,-25.066,-130.1015,25.32,74,22,13.76,PN,1681787513
24,bilibino,68.0546,166.4372,-4.48,80,100,3.71,RU,1681787514
25,port blair,11.6667,92.75,30.7,65,33,3.96,IN,1681787514
26,selfoss,63.9331,-20.9971,7.73,92,52,16.6,IS,1681787514
27,cabo san lucas,22.8909,-109.9124,23.12,64,5,3.0,MX,1681787498
28,invercargill,-46.4,168.35,15.1,72,73,9.37,NZ,1681787515
29,keflavik,64.0049,-22.5624,8.24,93,75,25.32,IS,1681787515
30,tiksi,71.6872,128.8694,-12.22,91,100,7.47,RU,1681787515
31,hun,29.1268,15.9477,14.48,57,50,4.05,LY,1681787515
32,puerto natales,-51.7236,-72.4875,7.29,83,100,12.64,CL,1681787515
33,ta`u,-14.2336,-169.5144,25.7,86,100,15.26,AS,1681787515
34,fort st. john,56.2499,-120.8529,3.12,48,99,12.35,CA,1681787515
35,hadibu,12.65,54.0333,26.77,73,5,4.43,YE,1681787515
36,paungde,18.4833,95.5,34.37,39,0,6.98,MM,1681787516
37,crane,31.3974,-102.3501,19.41,63,97,29.44,US,1681787516
38,necochea,-38.5473,-58.7368,10.95,91,70,4.56,AR,1681787516
39,arraial do cabo,-22.9661,-42.0278,24.25,88,45,12.82,BR,1681787516
40,tralee,52.2704,-9.7026,6.92,95,5,7.14,IE,1681787516
41,raghunathpur,23.55,86.6667,37.92,13,10,4.34,IN,1681787517
42,viru,-8.4167,-78.75,25.16,80,100,3.51,PE,1681787517
43,albany,42.6001,-73.9662,9.46,91,65,3.4,US,1681787517
44,jamestown,42.097,-79.2353,2.23,88,100,11.01,US,1681787483
45,shizilu,35.1711,118.8289,25.38,43,98,10.49,CN,1681787517
46,lihue,21.9789,-159.3672,25.58,79,75,8.05,US,1681787517
47,utrik,11.2278,169.8474,26.54,78,99,19.71,MH,1681787517
48,guixi,28.2886,117.2133,23.38,79,100,4.36,CN,1681787518
49,ribeira grande,38.5167,-28.7,12.1,76,91,1.99,PT,1681787518
50,iqaluit,63.7506,-68.5145,-21.65,93,29,9.98,CA,1681787518
51,west island,-12.1568,96.8225,27.99,65,51,17.27,CC,1681787519
52,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,93,75,2.24,RU,1681787519
53,ushuaia,-54.8,-68.3,0.44,97,88,3.76,AR,1681787519
54,enewetak,11.3474,162.3373,26.61,72,97,21.32,MH,1681787519
55,masterton,-40.9597,175.6575,19.38,62,98,4.9,NZ,1681787519
56,vorgashor,67.5833,63.95,-19.65,99,80,2.59,RU,1681787519
57,labe,11.3182,-12.2833,20.26,60,57,4.27,GN,1681787519
58,edinburgh of the seven seas,-37.0676,-12.3116,15.36,59,22,8.66,SH,1681787520
59,ulladulla,-35.35,150.4667,21.14,55,0,11.07,AU,1681787520
60,susuman,62.7833,148.1667,-6.03,70,99,2.89,RU,1681787520
61,manhumirim,-20.3578,-41.9581,19.1,92,25,1.23,BR,1681787520
62,lata,40.1629,-8.3327,12.73,48,42,4.18,PT,1681787520
63,dudinka,69.4058,86.1778,-16.88,79,0,15.37,RU,1681787520
64,lae,-6.7221,146.9847,29.58,68,96,8.59,PG,1681787521
65,zeya,53.75,127.2667,4.65,82,100,1.12,RU,1681787521
66,thompson,55.7435,-97.8558,-8.2,95,14,6.31,CA,1681787485
67,vilyuysk,63.7553,121.6247,-4.79,87,100,7.72,RU,1681787522
68,kitimat,54.0524,-128.6534,5.59,76,88,2.51,CA,1681787383
69,surat thani,9.1667,99.25,31.93,55,95,2.28,TH,1681787522
70,salekhard,66.53,66.6019,-12.46,78,9,3.27,RU,1681787522
71,duba,27.3513,35.6901,23.82,49,0,2.42,SA,1681787523
72,port lincoln,-34.7333,135.8667,20.68,60,1,17.07,AU,1681787523
73,haiku-pauwela,20.9219,-156.3051,27.01,56,20,14.97,US,1681787523
74,afaahiti,-17.75,-149.2833,27.93,78,98,11.56,PF,1681787523
75,castillos,-34.1667,-53.8333,10.56,79,6,2.33,UY,1681787523
76,uturoa,-16.7333,-151.4333,27.82,75,82,12.77,PF,1681787524
77,tazovsky,67.4667,78.7,-12.37,84,18,12.62,RU,1681787524
78,trinidad,-14.8333,-64.9,24.2,91,90,5.68,BO,1681787524
79,remire-montjoly,4.9167,-52.2667,24.02,100,75,4.61,GF,1681787525
80,zhangatas,43.5667,69.75,2.6,58,2,13.38,KZ,1681787525
81,blackmans bay,-43.0167,147.3167,21.07,63,40,7.54,AU,1681787525
82,boguchany,58.3814,97.4531,-1.45,88,100,10.2,RU,1681787526
83,morehead city,34.7229,-76.726,18.9,80,0,10.36,US,1681787526
84,mogocha,53.7333,119.7667,-1.37,47,3,5.7,RU,1681787527
85,kayangel,8.0823,134.7173,28.8,74,71,10.56,PW,1681787527
86,georgetown,5.4112,100.3354,29.97,74,20,0.0,MY,1681787375
87,naryn,41.4287,75.9911,4.37,84,100,3.31,KG,1681787527
88,livny,52.4253,37.6069,5.64,70,47,3.87,RU,1681787527
89,isafjordur,66.0755,-23.124,5.62,87,34,8.79,IS,1681787527
90,freetown,8.484,-13.2299,26.15,87,83,2.42,SL,1681787528
91,aasiaat,68.7098,-52.8699,-10.17,95,96,4.5,GL,1681787528
92,destin,30.3935,-86.4958,19.43,52,0,3.44,US,1681787528
93,novyy urengoy,66.0833,76.6333,-14.08,92,87,10.94,RU,1681787528
94,sitka,57.0531,-135.33,6.94,65,0,12.66,US,1681787528
95,ust-nera,64.5667,143.2,-3.35,77,100,2.71,RU,1681787528
96,puerto ayora,-0.7393,-90.3518,26.97,94,95,5.01,EC,1681787237
97,itamaraca,-7.7478,-34.8256,27.03,86,87,4.74,BR,1681787529
98,yellowknife,62.456,-114.3525,1.19,84,88,15.17,CA,1681787529
99,ebon,4.582,168.6964,26.3,80,100,5.08,MH,1681787529
100,alice springs,-23.7,133.8833,19.75,42,0,11.5,AU,1681787529
101,arish,31.1316,33.7984,20.82,58,22,4.59,EG,1681787529
102,don luan,11.5333,106.9167,31.86,55,17,5.61,VN,1681787530
103,avarua,-21.2078,-159.775,26.03,61,20,16.11,CK,1681787483
104,christchurch,-43.5333,172.6333,22.4,56,92,8.05,NZ,1681787531
105,hammerfest,70.6634,23.6821,4.25,93,75,6.91,NO,1681787531
106,pulawy,51.4166,21.9694,8.73,92,100,8.86,PL,1681787531
107,hawaiian paradise park,19.5933,-154.9731,25.02,77,20,5.75,US,1681787532
108,san juan de miraflores,-12.1629,-76.9635,23.98,83,100,8.48,PE,1681787532
109,tsumeb,-19.2333,17.7167,18.28,57,30,8.97,NA,1681787532
110,katsuura,35.1333,140.3,18.49,62,33,12.66,JP,1681787473
111,salym,60.0625,71.4789,-11.07,80,100,5.53,RU,1681787532
112,harper,4.375,-7.7169,26.29,85,4,2.08,LR,1681787532
113,kolonia town,6.964,158.206,31.06,79,100,10.36,FM,1681787532
114,kidal,18.4411,1.4078,25.57,8,71,6.93,ML,1681787533
115,whitehorse,60.7161,-135.0538,0.61,100,100,5.75,CA,1681787531
116,adrar,20.5022,-10.0711,26.89,26,55,5.28,MR,1681787533
117,fabens,31.5023,-106.1586,27.62,11,100,12.68,US,1681787469
118,kaindy,42.8247,73.6759,2.58,79,100,2.48,KG,1681787533
119,pierre,44.3683,-100.351,8.81,45,0,18.01,US,1681787406
120,santa marta de ortigueira,43.6833,-7.85,11.66,83,3,22.32,ES,1681787534
121,parkes,-33.1333,148.1833,25.75,36,0,4.61,AU,1681787534
122,constitucion,-35.3333,-72.4167,10.06,82,70,11.56,CL,1681787534
123,ponca city,36.707,-97.0856,21.98,35,0,12.66,US,1681787428
124,mili,6.0815,171.735,26.66,82,100,14.7,MH,1681787535
125,palmer,42.1584,-72.3287,12.75,84,75,6.91,US,1681787535
126,caleta olivia,-46.4393,-67.5281,10.32,51,82,19.35,AR,1681787535
127,sur,22.5667,59.5289,27.56,60,43,2.39,OM,1681787536
128,onega,63.9061,38.1404,-2.63,90,55,2.98,RU,1681787536
